  La2CuO4 data for madelung calculation
 3.77930    3.77930     13.22600    90.000      90.000000   90.000000
 0.05
 14  2  0
  Cu 00.00000000 00.00000000 00.00000000  2.00000000  1.00000000
  Cu 00.50000000 00.50000000 00.50000000  2.00000000  1.00000000
  La 00.00000000 00.00000000 00.36046000  3.00000000  1.00000000
  La 00.00000000 00.00000000 -0.36046000  3.00000000  1.00000000
  La 00.50000000 00.50000000 00.86046000  3.00000000  1.00000000
  La 00.50000000 00.50000000  0.13954000  3.00000000  1.00000000
  O1 00.00000000 00.00000000 00.18240000 -2.00000000  1.00000000
  O1 00.00000000 00.00000000 -0.18240000 -2.00000000  1.00000000
  O1 00.50000000 00.50000000 00.68240000 -2.00000000  1.00000000
  O1 00.50000000 00.50000000  0.31760000 -2.00000000  1.00000000
  O2 00.50000000 00.00000000 00.00000000 -2.00000000  1.00000000
  O2 00.00000000 00.50000000 00.00000000 -2.00000000  1.00000000
  O2 00.00000000 00.50000000 00.50000000 -2.00000000  1.00000000
  O2 00.50000000 00.00000000 00.50000000 -2.00000000  1.00000000


