 
 ---------The  1 -th dimensional points are:
         1       0.100000E-007
         2       0.961949E-001
         3       0.306225     
         4       0.593026     
         5       0.906974     
         6        1.19378     
         7        1.40381     
         8        1.50000     
         9        1.62352     
        10        1.89320     
        11        2.26146     
        12        2.66458     
        13        3.03284     
        14        3.30252     
        15        3.42604     
        16        3.56600     
        17        3.87159     
        18        4.28889     
        19        4.74568     
        20        5.16297     
        21        5.46856     
        22        5.60853     
        23        5.76712     
        24        6.11340     
        25        6.58626     
        26        7.10387     
        27        7.57673     
        28        7.92301     
        29        8.08161     
        30        8.26132     
        31        8.65371     
        32        9.18952     
        33        9.77606     
        34        10.3119     
        35        10.7043     
        36        10.8840     
        37        11.0876     
        38        11.5323     
        39        12.1394     
        40        12.8040     
        41        13.4112     
        42        13.8558     
        43        14.0595     
        44        14.2902     
        45        14.7941     
        46        15.4821     
        47        16.2352     
        48        16.9232     
        49        17.4270     
        50        17.6578     
        51        17.9193     
        52        18.4902     
        53        19.2698     
        54        20.1232     
        55        20.9028     
        56        21.4737     
        57        21.7352     
        58        22.0315     
        59        22.6785     
        60        23.5619     
        61        24.5289     
        62        25.4123     
        63        26.0592     
        64        26.3555     
        65        26.6913     
        66        27.4244     
        67        28.4254     
        68        29.5212     
        69        30.5222     
        70        31.2553     
        71        31.5911     
        72        31.9715     
        73        32.8022     
        74        33.9365     
        75        35.1782     
        76        36.3125     
        77        37.1432     
        78        37.5237     
        79        37.9548     
        80        38.8961     
        81        40.1814     
        82        41.5884     
        83        42.8738     
        84        43.8151     
        85        44.2462     
        86        44.7347     
        87        45.8013     
        88        47.2578     
        89        48.8522     
        90        50.3087     
        91        51.3753     
        92        51.8638     
        93        52.4174     
        94        53.6260     
        95        55.2765     
        96        57.0831     
        97        58.7335     
        98        59.9422     
        99        60.4957     
       100        61.1230     
       101        62.4926     
       102        64.3627     
       103        66.4099     
       104        68.2801     
       105        69.6497     
       106        70.2770     
       107        70.9878     
       108        72.5397     
       109        74.6589     
       110        76.9786     
       111        79.0978     
       112        80.6498     
       113        81.3605     
 
 ---------The  2 -th dimensional points are:
         1       0.100000E-007
         2       0.961949E-001
         3       0.306225     
         4       0.593026     
         5       0.906974     
         6        1.19378     
         7        1.40381     
         8        1.50000     
         9        1.62352     
        10        1.89320     
        11        2.26146     
        12        2.66458     
        13        3.03284     
        14        3.30252     
        15        3.42604     
        16        3.56600     
        17        3.87159     
        18        4.28889     
        19        4.74568     
        20        5.16297     
        21        5.46856     
        22        5.60853     
        23        5.76712     
        24        6.11340     
        25        6.58626     
        26        7.10387     
        27        7.57673     
        28        7.92301     
        29        8.08161     
        30        8.26132     
        31        8.65371     
        32        9.18952     
        33        9.77606     
        34        10.3119     
        35        10.7043     
        36        10.8840     
        37        11.0876     
        38        11.5323     
        39        12.1394     
        40        12.8040     
        41        13.4112     
        42        13.8558     
        43        14.0595     
        44        14.2902     
        45        14.7941     
        46        15.4821     
        47        16.2352     
        48        16.9232     
        49        17.4270     
        50        17.6578     
        51        17.9193     
        52        18.4902     
        53        19.2698     
        54        20.1232     
        55        20.9028     
        56        21.4737     
        57        21.7352     
        58        22.0315     
        59        22.6785     
        60        23.5619     
        61        24.5289     
        62        25.4123     
        63        26.0592     
        64        26.3555     
        65        26.6913     
        66        27.4244     
        67        28.4254     
        68        29.5212     
        69        30.5222     
        70        31.2553     
        71        31.5911     
        72        31.9715     
        73        32.8022     
        74        33.9365     
        75        35.1782     
        76        36.3125     
        77        37.1432     
        78        37.5237     
        79        37.9548     
        80        38.8961     
        81        40.1814     
        82        41.5884     
        83        42.8738     
        84        43.8151     
        85        44.2462     
        86        44.7347     
        87        45.8013     
        88        47.2578     
        89        48.8522     
        90        50.3087     
        91        51.3753     
        92        51.8638     
        93        52.4174     
        94        53.6260     
        95        55.2765     
        96        57.0831     
        97        58.7335     
        98        59.9422     
        99        60.4957     
       100        61.1230     
       101        62.4926     
       102        64.3627     
       103        66.4099     
       104        68.2801     
       105        69.6497     
       106        70.2770     
       107        70.9878     
       108        72.5397     
       109        74.6589     
       110        76.9786     
       111        79.0978     
       112        80.6498     
       113        81.3605     
 
